TOA5,CR1000_tower3_cluster,CR1000,78272,CR1000.Std.28.02,CPU:SH_tow3_cluster_2017.CR1,22084,Enviro,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C,
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,
9/28/17 13:45,0,271,1345,0.022,0,1.518,1.188,0.181,0.126,0.015,0,1.121,0.832,0.169,0.126,0.014,0.001,1.119,0.808,0.168,0.126,NAN,-562.8,214.6,0,NAN,-273.2
9/28/17 14:00,1,271,1400,0.178,0.004,12.16,9.5,1.448,1.004,0.118,0.003,8.96,6.658,1.352,1.004,0.114,0.008,8.95,6.462,1.346,1.01,NAN,-606.7,232.8,0,NAN,-273.2
9/28/17 14:15,2,271,1415,0.178,0.003,12.33,9.5,1.448,1.004,0.118,0.003,8.91,6.66,1.352,1.004,0.114,0.008,8.96,6.464,1.346,1.01,NAN,-608.1,233.2,0,NAN,-273.2
9/28/17 14:30,3,271,1430,0.178,0.004,12.44,9.5,1.448,1.004,0.118,0.003,8.92,6.66,1.352,1.004,0.114,0.008,8.96,6.461,1.346,1.011,NAN,-601.9,231.1,0,NAN,-273.2
9/28/17 14:45,4,271,1445,0.178,0.004,12.48,9.47,1.447,1.004,0.118,0.002,8.94,6.661,1.352,1.004,0.114,0.008,8.97,6.465,1.346,1.01,NAN,-610.6,234,0,NAN,-273.2
9/28/17 15:00,5,271,1500,0.178,0.003,12.51,9.47,1.447,1.004,0.118,0.003,8.93,6.659,1.352,1.004,0.114,0.008,8.94,6.461,1.346,1.01,NAN,-603.2,231.6,0,NAN,-273.2
9/28/17 15:15,6,271,1515,0.178,0.004,12.56,9.47,1.447,1.005,0.118,0.003,8.94,6.66,1.352,1.004,0.114,0.008,8.96,6.463,1.346,1.01,NAN,-603,231.8,0,NAN,-273.2
9/28/17 15:30,7,271,1530,0.177,0.004,12.68,9.44,1.446,1.004,0.118,0.003,8.93,6.658,1.352,1.004,0.114,0.008,8.94,6.461,1.346,1.01,NAN,-604.3,232.5,0,NAN,-273.2
9/28/17 15:45,8,271,1545,0.177,0.003,12.83,9.44,1.446,1.004,0.118,0.003,8.91,6.66,1.352,1.004,0.114,0.008,8.94,6.463,1.346,1.01,NAN,-599.9,230.8,0,NAN,-273.2
9/28/17 16:00,9,271,1600,0.177,0.004,12.99,9.43,1.446,1.005,0.118,0.003,8.94,6.66,1.352,1.004,0.114,0.008,8.95,6.464,1.346,1.01,NAN,-592.4,228.3,0,NAN,-273.2
9/28/17 16:15,10,271,1615,0.177,0.004,13.18,9.44,1.446,1.004,0.118,0.003,8.93,6.66,1.352,1.004,0.114,0.008,8.95,6.461,1.346,1.011,NAN,-593.9,228.6,0,NAN,-273.2
9/28/17 16:30,11,271,1630,0.177,0.004,13.36,9.43,1.446,1.004,0.118,0.003,8.95,6.659,1.352,1.004,0.114,0.008,8.96,6.464,1.346,1.01,NAN,-581.1,224.6,0,NAN,-273.2
9/28/17 16:45,12,271,1645,0.177,0.004,13.47,9.4,1.445,1.004,0.118,0.003,8.98,6.659,1.352,1.004,0.114,0.008,8.94,6.465,1.346,1.01,NAN,-588.3,226.6,0,NAN,-273.2
9/28/17 17:00,13,271,1700,0.177,0.004,13.56,9.4,1.445,1.004,0.118,0.002,8.99,6.661,1.352,1.004,0.114,0.008,8.93,6.463,1.346,1.01,NAN,-587.8,226.7,0,NAN,-273.2
9/28/17 17:15,14,271,1715,0.177,0.004,13.6,9.4,1.445,1.004,0.118,0.003,8.98,6.658,1.352,1.004,0.114,0.007,8.93,6.467,1.346,1.009,NAN,-586.3,226.4,0,NAN,-273.2
9/28/17 17:30,15,271,1730,0.176,0.004,13.65,9.4,1.444,1.004,0.118,0.003,9.02,6.657,1.352,1.004,0.114,0.008,8.94,6.464,1.346,1.01,NAN,-582.3,225.1,0,NAN,-273.2
9/28/17 17:45,16,271,1745,0.176,0.004,13.65,9.36,1.443,1.005,0.118,0.003,9.01,6.659,1.352,1.004,0.114,0.008,8.94,6.462,1.346,1.01,NAN,-586.8,227.2,0,NAN,-273.2
9/28/17 18:00,17,271,1800,0.176,0.004,13.62,9.37,1.443,1.004,0.118,0.003,9.05,6.659,1.352,1.004,0.114,0.007,8.94,6.466,1.346,1.01,NAN,-582,224.9,0,NAN,-273.2
9/28/17 18:15,18,271,1815,0.176,0.004,13.57,9.36,1.443,1.004,0.118,0.003,9.07,6.659,1.352,1.004,0.114,0.008,8.93,6.465,1.346,1.01,NAN,-578.4,223.5,0,NAN,-273.2
9/28/17 18:30,19,271,1830,0.175,0.004,13.48,9.33,1.442,1.004,0.118,0.003,9.07,6.659,1.352,1.004,0.114,0.008,8.94,6.461,1.346,1.01,NAN,-577.7,223.2,0,NAN,-273.2
9/28/17 18:45,20,271,1845,0.175,0.004,13.39,9.33,1.442,1.004,0.118,0.003,9.09,6.658,1.352,1.004,0.114,0.008,8.93,6.465,1.346,1.01,NAN,-577.7,223.8,0,NAN,-273.2
9/28/17 19:00,21,271,1900,0.175,0.004,13.32,9.33,1.442,1.004,0.118,0.003,9.12,6.659,1.352,1.004,0.114,0.007,8.92,6.468,1.346,1.009,NAN,-577.7,223.7,0,NAN,-273.2
9/28/17 19:15,22,271,1915,0.175,0.004,13.21,9.33,1.442,1.004,0.118,0.003,9.13,6.659,1.352,1.004,0.114,0.008,8.92,6.466,1.346,1.01,NAN,-573.6,221.7,0,NAN,-273.2
9/28/17 19:30,23,271,1930,0.174,0.004,13.09,9.3,1.441,1.004,0.118,0.003,9.16,6.661,1.352,1.004,0.114,0.008,8.93,6.461,1.346,1.01,NAN,-574.2,222.3,0,NAN,-273.2
9/28/17 19:45,24,271,1945,0.174,0.004,12.96,9.3,1.441,1.004,0.118,0.003,9.16,6.658,1.352,1.004,0.114,0.008,8.9,6.462,1.346,1.01,NAN,-572.5,221.6,0,NAN,-273.2
9/28/17 20:00,25,271,2000,0.174,0.004,12.83,9.3,1.441,1.004,0.118,0.003,9.24,6.657,1.352,1.004,0.114,0.008,8.92,6.464,1.346,1.01,NAN,-571.8,221.4,0,NAN,-273.2
9/28/17 20:15,26,271,2015,0.174,0.004,12.71,9.3,1.441,1.004,0.118,0.003,9.26,6.659,1.352,1.004,0.114,0.008,8.94,6.465,1.346,1.01,NAN,-570,220.5,0,NAN,-273.2
9/28/17 20:30,27,271,2030,0.174,0.004,12.57,9.3,1.441,1.004,0.118,0.003,9.29,6.659,1.352,1.004,0.114,0.008,8.93,6.465,1.346,1.01,NAN,-566.8,218.8,0,NAN,-273.2
9/28/17 20:45,28,271,2045,0.174,0.004,12.45,9.3,1.441,1.004,0.118,0.003,9.3,6.658,1.352,1.004,0.114,0.007,8.91,6.467,1.346,1.009,NAN,-569.4,220.2,0,NAN,-273.2
9/28/17 21:00,29,271,2100,0.174,0.003,12.3,9.27,1.44,1.004,0.118,0.003,9.32,6.661,1.352,1.004,0.114,0.008,8.92,6.461,1.346,1.01,NAN,-572.1,221.5,0,NAN,-273.2
9/28/17 21:15,30,271,2115,0.174,0.003,12.21,9.27,1.44,1.004,0.119,0.003,9.35,6.688,1.353,1.004,0.114,0.008,8.92,6.465,1.346,1.01,NAN,-571.6,221.2,0,NAN,-273.2
9/28/17 21:30,31,271,2130,0.174,0.003,12.04,9.27,1.44,1.004,0.119,0.003,9.37,6.689,1.353,1.004,0.114,0.008,8.92,6.463,1.346,1.01,NAN,-569.4,220.5,0,NAN,-273.2
9/28/17 21:45,32,271,2145,0.174,0.004,11.92,9.26,1.44,1.004,0.119,0.003,9.38,6.689,1.353,1.004,0.114,0.007,8.93,6.466,1.346,1.009,NAN,-569.9,220.6,0,NAN,-273.2
9/28/17 22:00,33,271,2200,0.174,0.003,11.77,9.27,1.44,1.004,0.119,0.003,9.42,6.688,1.353,1.004,0.114,0.008,8.94,6.464,1.346,1.01,NAN,-569,220.5,0,NAN,-273.2
9/28/17 22:15,34,271,2215,0.174,0.004,11.63,9.26,1.44,1.004,0.119,0.003,9.45,6.689,1.353,1.004,0.114,0.008,8.94,6.464,1.346,1.01,NAN,-567.6,219.9,0,NAN,-273.2
9/28/17 22:30,35,271,2230,0.174,0.003,11.5,9.27,1.44,1.004,0.119,0.003,9.47,6.689,1.353,1.004,0.114,0.008,8.95,6.463,1.346,1.01,NAN,-564.4,218.4,0,NAN,-273.2
9/28/17 22:45,36,271,2245,0.174,0.004,11.35,9.26,1.44,1.004,0.119,0.003,9.5,6.69,1.353,1.004,0.114,0.008,8.93,6.463,1.346,1.01,NAN,-560.1,216.5,0,NAN,-273.2
9/28/17 23:00,37,271,2300,0.173,0.003,11.24,9.23,1.439,1.004,0.119,0.003,9.52,6.689,1.353,1.004,0.114,0.008,8.95,6.463,1.346,1.01,NAN,-557.5,215.3,0,NAN,-273.2
9/28/17 23:15,38,271,2315,0.173,0.004,11.12,9.23,1.439,1.004,0.119,0.003,9.55,6.688,1.353,1.004,0.114,0.008,8.94,6.464,1.346,1.01,NAN,-553.7,213.7,0,NAN,-273.2
9/28/17 23:30,39,271,2330,0.173,0.003,10.97,9.23,1.439,1.004,0.119,0.003,9.55,6.688,1.353,1.004,0.114,0.008,8.94,6.465,1.346,1.01,NAN,-555.1,215.1,0,NAN,-273.2
9/28/17 23:45,40,271,2345,0.173,0.003,10.84,9.23,1.439,1.004,0.119,0.003,9.58,6.688,1.353,1.004,0.114,0.008,8.95,6.462,1.346,1.01,NAN,-547.5,211.2,0,NAN,-273.2
9/29/17 0:00,41,272,0,0.173,0.003,10.74,9.23,1.439,1.004,0.119,0.003,9.58,6.689,1.353,1.004,0.114,0.008,8.96,6.463,1.346,1.01,NAN,-551.1,213.4,0,NAN,-273.2
9/29/17 0:15,42,272,15,0.173,0.003,10.6,9.23,1.439,1.004,0.119,0.003,9.64,6.688,1.353,1.004,0.114,0.008,8.96,6.463,1.346,1.01,NAN,-548.1,212.3,0,NAN,-273.2
9/29/17 0:30,43,272,30,0.173,0.003,10.49,9.23,1.439,1.004,0.119,0.003,9.64,6.688,1.353,1.004,0.114,0.008,8.96,6.464,1.346,1.01,NAN,-540.6,208.8,0,NAN,-273.2
9/29/17 0:45,44,272,45,0.173,0.003,10.34,9.23,1.439,1.004,0.119,0.003,9.67,6.688,1.353,1.004,0.114,0.008,8.96,6.464,1.346,1.01,NAN,-537.7,207.4,0,NAN,-273.2
9/29/17 1:00,45,272,100,0.173,0.003,10.22,9.23,1.439,1.004,0.119,0.003,9.66,6.69,1.353,1.004,0.114,0.008,8.97,6.462,1.346,1.01,NAN,-538.5,208,0,NAN,-273.2
9/29/17 1:15,46,272,115,0.173,0.003,10.11,9.23,1.439,1.004,0.119,0.003,9.67,6.688,1.353,1.004,0.114,0.008,8.98,6.464,1.346,1.01,NAN,-536.9,207.3,0,NAN,-273.2
9/29/17 1:30,47,272,130,0.172,0.003,10.01,9.2,1.438,1.004,0.119,0.003,9.69,6.688,1.353,1.004,0.114,0.008,8.99,6.463,1.346,1.01,NAN,-536.9,207.2,0,NAN,-273.2
9/29/17 1:45,48,272,145,0.172,0.004,9.9,9.2,1.438,1.005,0.119,0.003,9.71,6.688,1.353,1.004,0.114,0.008,8.99,6.462,1.346,1.01,NAN,-535.2,206.5,0,NAN,-273.2
9/29/17 2:00,49,272,200,0.172,0.003,9.77,9.2,1.438,1.004,0.119,0.003,9.71,6.687,1.353,1.004,0.114,0.008,8.97,6.463,1.346,1.01,NAN,-536.9,207.8,0,NAN,-273.2
9/29/17 2:15,50,272,215,0.172,0.004,9.67,9.2,1.438,1.004,0.119,0.003,9.73,6.689,1.353,1.004,0.114,0.008,9,6.464,1.346,1.01,NAN,-535.8,207.2,0,NAN,-273.2
9/29/17 2:30,51,272,230,0.172,0.003,9.56,9.2,1.438,1.004,0.119,0.003,9.73,6.687,1.353,1.004,0.114,0.008,9.02,6.463,1.346,1.01,NAN,-538.3,208.7,0,NAN,-273.2
9/29/17 2:45,52,272,245,0.172,0.003,9.46,9.2,1.438,1.004,0.119,0.003,9.76,6.688,1.353,1.004,0.114,0.008,9.01,6.462,1.346,1.01,NAN,-534.9,206.7,0,NAN,-273.2
9/29/17 3:00,53,272,300,0.172,0.004,9.33,9.2,1.438,1.004,0.119,0.003,9.76,6.689,1.353,1.004,0.114,0.008,9.01,6.462,1.346,1.01,NAN,-536,207.3,0,NAN,-273.2
9/29/17 3:15,54,272,315,0.172,0.003,9.22,9.2,1.438,1.004,0.119,0.003,9.76,6.687,1.353,1.004,0.114,0.008,9.02,6.462,1.346,1.01,NAN,-537.1,208,0,NAN,-273.2
9/29/17 3:30,55,272,330,0.172,0.003,9.18,9.2,1.438,1.004,0.119,0.003,9.76,6.688,1.353,1.004,0.114,0.008,9.03,6.462,1.346,1.01,NAN,-537.6,207.9,0,NAN,-273.2
9/29/17 3:45,56,272,345,0.172,0.003,9.08,9.2,1.438,1.004,0.119,0.003,9.74,6.688,1.353,1.004,0.114,0.008,9.04,6.46,1.346,1.011,NAN,-536.1,206.9,0,NAN,-273.2
9/29/17 4:00,57,272,400,0.172,0.003,8.97,9.2,1.438,1.003,0.119,0.003,9.77,6.688,1.353,1.004,0.114,0.008,9.03,6.463,1.346,1.01,NAN,-540,209.2,0,NAN,-273.2
9/29/17 4:15,58,272,415,0.172,0.003,8.82,9.16,1.437,1.004,0.119,0.003,9.79,6.688,1.353,1.004,0.114,0.008,9.03,6.463,1.346,1.01,NAN,-539.1,208.4,0,NAN,-273.2
9/29/17 4:30,59,272,430,0.172,0.004,8.75,9.16,1.437,1.005,0.119,0.003,9.78,6.689,1.353,1.004,0.114,0.008,9.04,6.463,1.346,1.01,NAN,-538.9,208.4,0,NAN,-273.2
9/29/17 4:45,60,272,445,0.172,0.003,8.69,9.16,1.437,1.004,0.119,0.003,9.76,6.689,1.353,1.004,0.114,0.008,9.05,6.462,1.346,1.01,NAN,-545.3,211.3,0,NAN,-273.2
9/29/17 5:00,61,272,500,0.172,0.003,8.59,9.16,1.437,1.004,0.119,0.003,9.76,6.689,1.353,1.004,0.114,0.008,9.05,6.461,1.346,1.01,NAN,-549.3,213,0,NAN,-273.2
9/29/17 5:15,62,272,515,0.172,0.003,8.51,9.16,1.437,1.004,0.119,0.003,9.77,6.689,1.353,1.004,0.114,0.008,9.06,6.461,1.346,1.011,NAN,-550.7,213.1,0,NAN,-273.2
9/29/17 5:30,63,272,530,0.172,0.003,8.41,9.16,1.437,1.004,0.119,0.003,9.77,6.69,1.353,1.004,0.114,0.008,9.07,6.461,1.346,1.011,NAN,-548.6,212,0,NAN,-273.2
9/29/17 5:45,64,272,545,0.172,0.003,8.31,9.17,1.437,1.003,0.119,0.003,9.78,6.688,1.353,1.004,0.114,0.008,9.06,6.463,1.346,1.01,NAN,-551.8,213.5,0,NAN,-273.2
9/29/17 6:00,65,272,600,0.172,0.003,8.2,9.16,1.437,1.004,0.119,0.003,9.76,6.688,1.353,1.004,0.114,0.008,9.09,6.464,1.346,1.01,NAN,-549.3,211.8,0,NAN,-273.2
9/29/17 6:15,66,272,615,0.172,0.003,8.12,9.17,1.437,1.004,0.119,0.003,9.72,6.689,1.353,1.004,0.114,0.008,9.07,6.461,1.346,1.011,NAN,-548.6,211.6,0,NAN,-273.2
9/29/17 6:30,67,272,630,0.172,0.003,8.02,9.16,1.437,1.004,0.119,0.003,9.75,6.689,1.353,1.004,0.114,0.008,9.07,6.464,1.346,1.01,NAN,-552.2,213.1,0,NAN,-273.2
9/29/17 6:45,68,272,645,0.172,0.003,7.897,9.16,1.437,1.003,0.119,0.003,9.77,6.69,1.353,1.004,0.114,0.008,9.08,6.463,1.346,1.01,NAN,-555.2,214.8,0,NAN,-273.2
9/29/17 7:00,69,272,700,0.171,0.004,7.829,9.13,1.435,1.004,0.119,0.003,9.76,6.688,1.353,1.004,0.114,0.008,9.1,6.464,1.346,1.01,NAN,-554.2,213.9,0,NAN,-273.2
9/29/17 7:15,70,272,715,0.171,0.003,7.724,9.13,1.435,1.003,0.119,0.003,9.74,6.687,1.353,1.004,0.114,0.008,9.09,6.463,1.346,1.01,NAN,-553.3,213.6,0,NAN,-273.2
9/29/17 7:30,71,272,730,0.171,0.003,7.653,9.13,1.435,1.004,0.119,0.003,9.69,6.689,1.353,1.004,0.114,0.008,9.09,6.463,1.346,1.01,NAN,-559.5,216.4,0,NAN,-273.2
9/29/17 7:45,72,272,745,0.171,0.003,7.577,9.13,1.435,1.004,0.119,0.003,9.71,6.688,1.353,1.004,0.114,0.008,9.09,6.462,1.346,1.01,NAN,-567.1,219.1,0,NAN,-273.2
9/29/17 8:00,73,272,800,0.171,0.003,7.512,9.13,1.435,1.004,0.119,0.003,9.7,6.688,1.353,1.004,0.114,0.008,9.11,6.463,1.346,1.01,NAN,-561.4,217.3,0,NAN,-273.2
