TOA5,CR1000_tower1_subcanopy_sap,CR1000,80162,CR1000.Std.29,CPU:SH_tow1_meadow_2017.CR1,28698,Enviro,
10/2/18 8:45,4398,275,845,0.01,2509,2.45,8.47,9.45
10/2/18 9:00,4399,275,900,0.01,2515,2.456,9.03,10.01
10/2/18 9:15,4400,275,915,0.01,2527,2.467,9.48,10.37
10/2/18 9:30,4401,275,930,0.01,2509,2.45,10.13,11.03
10/2/18 9:45,4402,275,945,0.01,2511,2.452,10.69,12.06
10/2/18 10:00,4403,275,1000,0.01,2521,2.462,10.42,12.65
10/2/18 10:15,4404,275,1015,0.01,2550,2.49,10.27,13.13
10/2/18 10:30,4405,275,1030,0.01,2599,2.538,10.81,14.18
10/2/18 10:45,4406,275,1045,0.01,2596,2.535,10.47,14.9
10/2/18 11:00,4407,275,1100,0.01,2605,2.544,10.88,16.39
10/2/18 11:15,4408,275,1115,0.01,2593,2.532,13.75,16.87
10/2/18 11:30,4409,275,1130,0.01,2574,2.514,12.84,17.34
10/2/18 11:45,4410,275,1145,0.01,2599,2.538,14.56,18.37
10/2/18 12:00,4411,275,1200,0.009,2582,2.522,17.93,21.19
10/2/18 12:15,4412,275,1215,0.009,2604,2.543,14.08,21.32
10/2/18 12:30,4413,275,1230,0.009,2601,2.54,13.1,20.05
10/2/18 12:45,4414,275,1245,0.009,2585,2.524,13.09,19.11
10/2/18 13:00,4415,275,1300,0.009,2510,2.451,11.39,18.66
10/2/18 13:15,4416,275,1315,0.009,2585,2.524,11.2,18.66
10/2/18 13:30,4417,275,1330,0.009,2580,2.52,12.05,18.52
10/2/18 13:45,4418,275,1345,0.01,2569,2.509,10.82,18.88
10/2/18 14:00,4419,275,1400,0.01,2598,2.537,11.32,18.82
10/2/18 14:15,4420,275,1415,0.01,2588,2.527,12.04,19.49
10/2/18 14:30,4421,275,1430,0.009,2600,2.539,11.88,20.07
10/2/18 14:45,4422,275,1445,0.009,2594,2.533,11.66,21.28
10/2/18 15:00,4423,275,1500,0.009,2602,2.541,10.21,20.62
10/2/18 15:15,4424,275,1515,0.009,2601,2.54,9.91,19.04
10/2/18 15:30,4425,275,1530,0.01,2586,2.526,9.49,18.26
10/2/18 15:45,4426,275,1545,0.01,2554,2.494,9.65,17.91
10/2/18 16:00,4427,275,1600,0.01,2584,2.523,9.21,17.66
10/2/18 16:15,4428,275,1615,0.01,2582,2.521,8.52,17.31
10/2/18 16:30,4429,275,1630,0.01,2602,2.541,8.13,16.94
10/2/18 16:45,4430,275,1645,0.01,2585,2.525,8.9,16.65
10/2/18 17:00,4431,275,1700,0.01,2535,2.475,8.32,16.39
10/2/18 17:15,4432,275,1715,0.01,2587,2.526,8.26,16.08
10/2/18 17:30,4433,275,1730,0.01,2586,2.526,9.58,15.84
10/2/18 17:45,4434,275,1745,0.01,2550,2.491,8.46,15.64
10/2/18 18:00,4435,275,1800,0.01,2527,2.468,7.167,14.99
10/2/18 18:15,4436,275,1815,0.01,2531,2.471,5.306,14.29
10/2/18 18:30,4437,275,1830,0.01,2528,2.469,5.094,13.59
10/2/18 18:45,4438,275,1845,0.01,2526,2.466,4.647,12.92
10/2/18 19:00,4439,275,1900,0.01,2520,2.461,6.693,12.26
10/2/18 19:15,4440,275,1915,0.01,2519,2.46,4.138,11.62
10/2/18 19:30,4441,275,1930,0.01,2519,2.46,3.684,11.09
10/2/18 19:45,4442,275,1945,0.01,2512,2.453,3.394,10.66
10/2/18 20:00,4443,275,2000,0.01,2521,2.461,3.043,10.32
10/2/18 20:15,4444,275,2015,0.01,2529,2.47,3.029,9.88
10/2/18 20:30,4445,275,2030,0.01,2521,2.462,2.528,9.45
10/2/18 20:45,4446,275,2045,0.01,2529,2.47,2.233,9.01
10/2/18 21:00,4447,275,2100,0.01,2524,2.465,2.32,8.56
10/2/18 21:15,4448,275,2115,0.01,2538,2.479,1.27,7.97
10/2/18 21:30,4449,275,2130,0.01,2555,2.496,1.186,7.444
10/2/18 21:45,4450,275,2145,0.01,2557,2.497,3.843,7.198
10/2/18 22:00,4451,275,2200,0.01,2544,2.485,3.698,7.299
10/2/18 22:15,4452,275,2215,0.01,2554,2.494,2.104,7.764
10/2/18 22:30,4453,275,2230,0.01,2564,2.504,4.224,7.816
10/2/18 22:45,4454,275,2245,0.01,2560,2.5,2.279,7.921
10/2/18 23:00,4455,275,2300,0.01,2559,2.499,1.743,7.774
10/2/18 23:15,4456,275,2315,0.01,2565,2.505,0.98,7.372
10/2/18 23:30,4457,275,2330,0.01,2562,2.502,0.915,6.871
10/2/18 23:45,4458,275,2345,0.01,2574,2.513,0.689,6.366
10/3/18 0:00,4459,276,0,0.01,2571,2.511,0.612,5.941
10/3/18 0:15,4460,276,15,0.01,2559,2.5,0.598,5.603
10/3/18 0:30,4461,276,30,0.01,2592,2.532,2.8,5.377
10/3/18 0:45,4462,276,45,0.01,2582,2.522,1.239,5.245
10/3/18 1:00,4463,276,100,0.01,2561,2.501,0.556,5.258
10/3/18 1:15,4464,276,115,0.01,2587,2.526,0.302,5.181
10/3/18 1:30,4465,276,130,0.01,2603,2.542,2.211,5.225
10/3/18 1:45,4466,276,145,0.01,2609,2.547,1.142,5.6
10/3/18 2:00,4467,276,200,0.01,2616,2.555,1.173,5.776
10/3/18 2:15,4468,276,215,0.01,2592,2.531,1.166,5.776
10/3/18 2:30,4469,276,230,0.01,2633,2.571,1.174,6.062
10/3/18 2:45,4470,276,245,0.01,2618,2.556,0.838,6.377
10/3/18 3:00,4471,276,300,0.01,2625,2.564,0.466,6.194
10/3/18 3:15,4472,276,315,0.01,2637,2.576,0.591,5.934
10/3/18 3:30,4473,276,330,0.01,2615,2.554,1.269,5.686
10/3/18 3:45,4474,276,345,0.01,2612,2.551,0.237,5.411
10/3/18 4:00,4475,276,400,0.01,2635,2.573,0.928,5.213
10/3/18 4:15,4476,276,415,0.01,2641,2.58,0.49,5.117
10/3/18 4:30,4477,276,430,0.01,2643,2.581,3.119,4.997
10/3/18 4:45,4478,276,445,0.01,2642,2.58,3.43,4.941
10/3/18 5:00,4479,276,500,0.01,2639,2.577,3.401,4.969
10/3/18 5:15,4480,276,515,0.01,2633,2.571,3.751,5.097
10/3/18 5:30,4481,276,530,0.01,2620,2.559,2.591,5.228
10/3/18 5:45,4482,276,545,0.01,2633,2.571,0.322,5.151
10/3/18 6:00,4483,276,600,0.01,2621,2.559,-0.08,4.855
10/3/18 6:15,4484,276,615,0.01,2627,2.566,-0.409,4.459
10/3/18 6:30,4485,276,630,0.01,2621,2.56,-0.867,4.051
10/3/18 6:45,4486,276,645,0.01,2626,2.565,-1.077,3.642
10/3/18 7:00,4487,276,700,0.01,2610,2.549,-0.228,3.283
10/3/18 7:15,4488,276,715,0.011,2572,2.512,1.713,3.065
10/3/18 7:30,4489,276,730,0.01,2572,2.512,2.049,3.152
10/3/18 7:45,4490,276,745,0.01,2585,2.524,3.577,3.545
10/3/18 8:00,4491,276,800,0.01,2622,2.561,1.27,4.277
10/3/18 8:15,4492,276,815,0.01,2633,2.571,2.111,4.939
10/3/18 8:30,4493,276,830,0.01,2620,2.559,5.686,6.156
10/3/18 8:45,4494,276,845,0.01,2602,2.541,7.851,8.01
10/3/18 9:00,4495,276,900,0.01,2617,2.556,7.287,9.81
10/3/18 9:15,4496,276,915,0.01,2620,2.558,7.741,11.02
10/3/18 9:30,4497,276,930,0.01,2598,2.537,8.28,11.93
10/3/18 9:45,4498,276,945,0.01,2595,2.534,9.14,12.36
10/3/18 10:00,4499,276,1000,0.01,2617,2.556,10.06,12.32
10/3/18 10:15,4500,276,1015,0.01,2626,2.565,10.6,11.9
10/3/18 10:30,4501,276,1030,0.01,2626,2.565,10.37,11.62
10/3/18 10:45,4502,276,1045,0.01,2623,2.562,11.41,12.18
10/3/18 11:00,4503,276,1100,0.01,2616,2.555,11.66,13.18
10/3/18 11:15,4504,276,1115,0.01,2617,2.556,11.55,13.65
10/3/18 11:30,4505,276,1130,0.01,2614,2.553,12.42,13.97
10/3/18 11:45,4506,276,1145,0.01,2608,2.547,11.87,15.83
10/3/18 12:00,4507,276,1200,0.01,2604,2.543,11.36,15.45
10/3/18 12:15,4508,276,1215,0.01,2610,2.549,12.29,15.09
10/3/18 12:30,4509,276,1230,0.01,2610,2.548,11.45,14.9
10/3/18 12:45,4510,276,1245,0.01,2613,2.552,11.66,14.27
10/3/18 13:00,4511,276,1300,0.01,2608,2.547,12.77,14.27
10/3/18 13:15,4512,276,1315,0.01,2607,2.546,11.42,14.3
10/3/18 13:30,4513,276,1330,0.01,2609,2.548,10.8,13.65
10/3/18 13:45,4514,276,1345,0.01,2622,2.561,7.674,10.44
10/3/18 14:00,4515,276,1400,0.01,2644,2.582,5.543,7.009
10/3/18 14:15,4516,276,1415,0.011,2648,2.586,6.18,6.192
10/3/18 14:30,4517,276,1430,0.011,2646,2.584,6.146,5.956
10/3/18 14:45,4518,276,1445,0.011,2639,2.577,6.226,5.752
10/3/18 15:00,4519,276,1500,0.011,2606,2.545,6.486,5.895
10/3/18 15:15,4520,276,1515,0.011,2650,2.588,6.82,6.15
10/3/18 15:30,4521,276,1530,0.011,2647,2.585,7.277,6.588
10/3/18 15:45,4522,276,1545,0.011,2642,2.58,8.06,7.211
10/3/18 16:00,4523,276,1600,0.011,2637,2.575,8.14,7.68
10/3/18 16:15,4524,276,1615,0.011,2639,2.577,8.19,7.914
10/3/18 16:30,4525,276,1630,0.011,2640,2.578,8.05,8
10/3/18 16:45,4526,276,1645,0.011,2637,2.575,7.9,7.987
10/3/18 17:00,4527,276,1700,0.011,2634,2.572,7.922,7.942
10/3/18 17:15,4528,276,1715,0.011,2622,2.561,7.978,8
10/3/18 17:30,4529,276,1730,0.011,2570,2.51,8.05,7.982
10/3/18 17:45,4530,276,1745,0.011,2576,2.516,7.976,8.03
10/3/18 18:00,4531,276,1800,0.011,2594,2.533,7.579,7.74
10/3/18 18:15,4532,276,1815,0.011,2595,2.534,7.31,7.399
10/3/18 18:30,4533,276,1830,0.011,2617,2.556,7.021,7.093
10/3/18 18:45,4534,276,1845,0.011,2610,2.548,6.894,6.953
10/3/18 19:00,4535,276,1900,0.011,2616,2.555,6.794,6.854
10/3/18 19:15,4536,276,1915,0.011,2614,2.553,6.651,6.76
10/3/18 19:30,4537,276,1930,0.011,2609,2.548,6.556,6.672
10/3/18 19:45,4538,276,1945,0.011,2615,2.554,6.477,6.593
10/3/18 20:00,4539,276,2000,0.011,2617,2.556,6.416,6.526
10/3/18 20:15,4540,276,2015,0.011,2617,2.555,6.433,6.482
10/3/18 20:30,4541,276,2030,0.011,2616,2.555,5.848,6.404
10/3/18 20:45,4542,276,2045,0.011,2612,2.55,5.565,6.233
10/3/18 21:00,4543,276,2100,0.011,2615,2.554,5.222,6.041
10/3/18 21:15,4544,276,2115,0.01,2613,2.552,5.052,5.792
10/3/18 21:30,4545,276,2130,0.01,2611,2.55,4.836,5.676
10/3/18 21:45,4546,276,2145,0.01,2616,2.555,3.724,5.388
10/3/18 22:00,4547,276,2200,0.01,2620,2.559,4.519,5.075
10/3/18 22:15,4548,276,2215,0.01,2629,2.567,3.273,4.817
10/3/18 22:30,4549,276,2230,0.01,2631,2.569,3.457,4.506
10/3/18 22:45,4550,276,2245,0.01,2635,2.573,3.348,4.316
10/3/18 23:00,4551,276,2300,0.01,2633,2.571,3.289,4.121
10/3/18 23:15,4552,276,2315,0.01,2637,2.575,2.586,3.893
10/3/18 23:30,4553,276,2330,0.01,2634,2.573,3.939,3.795
10/3/18 23:45,4554,276,2345,0.01,2630,2.568,2.991,3.686
10/4/18 0:00,4555,277,0,0.01,2632,2.57,2.69,3.675
10/4/18 0:15,4556,277,15,0.01,2632,2.57,4.173,3.73
10/4/18 0:30,4557,277,30,0.01,2627,2.565,4.33,3.943
10/4/18 0:45,4558,277,45,0.01,2628,2.566,4.565,4.134
10/4/18 1:00,4559,277,100,0.01,2624,2.563,4.739,4.314
10/4/18 1:15,4560,277,115,0.01,2623,2.561,4.856,4.462
10/4/18 1:30,4561,277,130,0.01,2627,2.566,4.839,4.594
10/4/18 1:45,4562,277,145,0.01,2630,2.569,4.99,4.67
10/4/18 2:00,4563,277,200,0.01,2627,2.566,5.076,4.769
10/4/18 2:15,4564,277,215,0.01,2629,2.567,5.157,4.856
10/4/18 2:30,4565,277,230,0.01,2630,2.568,5.291,4.971
10/4/18 2:45,4566,277,245,0.01,2614,2.553,5.022,5.031
10/4/18 3:00,4567,277,300,0.01,2623,2.562,5.289,5.118
10/4/18 3:15,4568,277,315,0.01,2629,2.567,5.055,5.107
10/4/18 3:30,4569,277,330,0.01,2629,2.568,5.339,5.162
10/4/18 3:45,4570,277,345,0.01,2626,2.564,5.516,5.27
10/4/18 4:00,4571,277,400,0.01,2618,2.556,5.614,5.381
10/4/18 4:15,4572,277,415,0.01,2617,2.556,5.675,5.479
10/4/18 4:30,4573,277,430,0.01,2615,2.554,5.714,5.56
10/4/18 4:45,4574,277,445,0.01,2602,2.541,5.316,5.516
10/4/18 5:00,4575,277,500,0.01,2606,2.545,5.52,5.466
10/4/18 5:15,4576,277,515,0.01,2610,2.548,5.375,5.389
10/4/18 5:30,4577,277,530,0.01,2612,2.551,5.569,5.428
10/4/18 5:45,4578,277,545,0.011,2619,2.558,5.737,5.565
10/4/18 6:00,4579,277,600,0.01,2627,2.565,5.824,5.868
10/4/18 6:15,4580,277,615,0.01,2632,2.571,5.452,5.818
10/4/18 6:30,4581,277,630,0.01,2636,2.574,5.74,5.79
10/4/18 6:45,4582,277,645,0.01,2629,2.568,5.569,5.774
10/4/18 7:00,4583,277,700,0.01,2634,2.572,5.793,5.763
10/4/18 7:15,4584,277,715,0.01,2637,2.575,5.796,5.79
10/4/18 7:30,4585,277,730,0.01,2629,2.567,6.074,5.89
10/4/18 7:45,4586,277,745,0.01,2627,2.565,6.197,6.061
10/4/18 8:00,4587,277,800,0.01,2626,2.564,6.288,6.288
10/4/18 8:15,4588,277,815,0.01,2626,2.564,6.682,6.527
10/4/18 8:30,4589,277,830,0.01,2619,2.558,7.016,6.805
10/4/18 8:45,4590,277,845,0.01,2617,2.555,7.555,7.221
10/4/18 9:00,4591,277,900,0.01,2615,2.554,7.684,7.478
10/4/18 9:15,4592,277,915,0.01,2611,2.55,8.19,7.853
10/4/18 9:30,4593,277,930,0.01,2567,2.507,8.44,8.31
10/4/18 9:45,4594,277,945,0.01,2541,2.482,8.58,8.42
10/4/18 10:00,4595,277,1000,0.01,2542,2.482,8.8,8.45
10/4/18 10:15,4596,277,1015,0.01,2554,2.494,9.1,8.65
10/4/18 10:30,4597,277,1030,0.01,2527,2.468,8.88,8.67
10/4/18 10:45,4598,277,1045,0.01,2619,2.558,9.46,8.85
10/4/18 11:00,4599,277,1100,0.01,2639,2.577,10.21,9.21
10/4/18 11:15,4600,277,1115,0.01,2637,2.575,9.84,9.38
10/4/18 11:30,4601,277,1130,0.01,2638,2.576,9.64,10.68
10/4/18 11:45,4602,277,1145,0.01,2636,2.574,11.94,11.66
10/4/18 12:00,4603,277,1200,0.01,2633,2.571,11.65,11.65
10/4/18 12:15,4604,277,1215,0.009,2634,2.572,10.7,10.67
10/4/18 12:30,4605,277,1230,0.009,2633,2.571,10.33,10.27
10/4/18 12:45,4606,277,1245,0.009,2635,2.573,11.84,9.67
10/4/18 13:00,4607,277,1300,0.009,2632,2.57,11.73,9.83
10/4/18 13:15,4608,277,1315,0.009,2630,2.569,10.78,9.85
10/4/18 13:30,4609,277,1330,0.009,2632,2.571,10.61,9.41
10/4/18 13:45,4610,277,1345,0.009,2631,2.57,9.39,9.05
10/4/18 14:00,4611,277,1400,0.009,2634,2.573,9.85,8.79
10/4/18 14:15,4612,277,1415,0.009,2636,2.574,10.14,8.76
10/4/18 14:30,4613,277,1430,0.009,2633,2.571,8.43,8.67
10/4/18 14:45,4614,277,1445,0.009,2639,2.577,8.77,8.48
10/4/18 15:00,4615,277,1500,0.01,2640,2.578,8.41,8.21
10/4/18 15:15,4616,277,1515,0.01,2640,2.578,7.834,7.965
10/4/18 15:30,4617,277,1530,0.01,2640,2.578,7.642,7.987
10/4/18 15:45,4618,277,1545,0.01,2639,2.577,7.922,8.37
10/4/18 16:00,4619,277,1600,0.01,2641,2.579,7.774,8.16
10/4/18 16:15,4620,277,1615,0.01,2642,2.58,6.933,7.791
10/4/18 16:30,4621,277,1630,0.01,2644,2.582,6.8,7.573
10/4/18 16:45,4622,277,1645,0.01,2642,2.58,7.846,7.634
10/4/18 17:00,4623,277,1700,0.01,2638,2.576,7.46,7.892
10/4/18 17:15,4624,277,1715,0.01,2602,2.541,7.192,7.998
10/4/18 17:30,4625,277,1730,0.01,2599,2.538,7.129,8.07
10/4/18 17:45,4626,277,1745,0.01,2608,2.547,5.814,8.09
10/4/18 18:00,4627,277,1800,0.01,2628,2.566,6.682,7.64
10/4/18 18:15,4628,277,1815,0.01,2600,2.539,6.577,7.332
10/4/18 18:30,4629,277,1830,0.01,2625,2.563,5.921,7.031
10/4/18 18:45,4630,277,1845,0.011,2634,2.572,6.448,6.742
10/4/18 19:00,4631,277,1900,0.011,2618,2.556,6.321,6.56
10/4/18 19:15,4632,277,1915,0.011,2613,2.552,4.75,6.46
10/4/18 19:30,4633,277,1930,0.011,2611,2.55,2.784,6.178
10/4/18 19:45,4634,277,1945,0.011,2607,2.545,5.51,6.074
10/4/18 20:00,4635,277,2000,0.011,2561,2.501,5.801,6.179
10/4/18 20:15,4636,277,2015,0.01,2569,2.509,6.032,6.26
10/4/18 20:30,4637,277,2030,0.01,2561,2.501,5.233,6.293
10/4/18 20:45,4638,277,2045,0.01,2568,2.508,3.415,6.271
10/4/18 21:00,4639,277,2100,0.01,2561,2.501,1.259,6.189
10/4/18 21:15,4640,277,2115,0.01,2576,2.516,4.231,5.89
10/4/18 21:30,4641,277,2130,0.01,2569,2.508,3.376,5.72
